t,v,vw,o,c,h,l,n
2023-12-01 09:00:00+00:00,2229,468.0622,467.64,468.0,468.5,467.64,97
2023-12-01 09:01:00+00:00,1026,468.3399,468.0,468.49,468.5,468.0,40
2023-12-01 09:03:00+00:00,598,468.07,468.06,468.06,468.06,468.06,42
2023-12-01 09:04:00+00:00,971,468.2913,468.25,468.33,468.33,468.25,18
2023-12-01 09:05:00+00:00,1095,468.414,468.42,468.45,468.45,468.42,53
2023-12-01 09:07:00+00:00,966,468.749,468.5,468.5,468.5,468.5,48
2023-12-01 09:08:00+00:00,726,469.1641,469.02,469.3,469.3,469.02,32
2023-12-01 09:09:00+00:00,1323,469.433,469.28,469.5,469.5,469.28,33
2023-12-01 09:10:00+00:00,664,469.6673,469.69,469.7,469.7,469.69,31
2023-12-01 09:11:00+00:00,3294,469.5345,469.53,469.5,469.57,469.45,64
2023-12-01 09:12:00+00:00,1532,469.5092,469.5,469.5,469.56,469.5,17
2023-12-01 09:13:00+00:00,404,469.5,469.5,469.5,469.5,469.5,10
2023-12-01 09:14:00+00:00,1867,469.5332,469.55,469.5,469.56,469.5,44
2023-12-01 09:15:00+00:00,2780,469.6646,469.63,469.7,469.7,469.63,35
2023-12-01 09:19:00+00:00,226,469.7392,469.75,469.75,469.75,469.75,10
2023-12-01 09:20:00+00:00,1075,469.8016,469.79,469.89,469.89,469.79,9
2023-12-01 09:21:00+00:00,1122,469.8,469.76,469.73,469.76,469.73,40
2023-12-01 09:23:00+00:00,835,469.7801,469.87,469.87,469.87,469.87,46
2023-12-01 09:26:00+00:00,1011,469.513,469.52,469.5,469.52,469.5,31
2023-12-01 09:29:00+00:00,351,469.5469,469.5,469.5,469.5,469.5,10
2023-12-01 09:30:00+00:00,307,469.5704,469.6,469.5,469.6,469.5,10
2023-12-01 09:31:00+00:00,560,469.5244,469.52,469.52,469.52,469.52,12
2023-12-01 09:41:00+00:00,536,469.5111,469.5,469.5,469.5,469.5,20
